Date,Symbol,Close,High,Low,Open,Volume
5/18/2012,FB,38.22999954,45,38,42.04999924,573576400
5/21/2012,FB,34.02999878,36.65999985,33,36.52999878,168192700
5/22/2012,FB,31,33.59000015,30.94000053,32.61000061,101786600
5/23/2012,FB,32,32.5,31.36000061,31.37000084,73600000
5/24/2012,FB,33.02999878,33.20999908,31.77000046,32.95000076,50237200
5/25/2012,FB,31.90999985,32.95000076,31.11000061,32.90000153,37149800
5/29/2012,FB,28.84000015,31.69000053,28.64999962,31.47999954,78063400
5/30/2012,FB,28.19000053,29.54999924,27.86000061,28.70000076,57267900
5/31/2012,FB,29.60000038,29.67000008,26.82999992,28.54999924,111639200
6/1/2012,FB,27.71999931,29.14999962,27.38999939,28.88999939,41855500
6/4/2012,FB,26.89999962,27.64999962,26.44000053,27.20000076,35230300
6/5/2012,FB,25.87000084,27.76000023,25.75,26.70000076,42473400
6/6/2012,FB,26.80999947,27.17000008,25.52000046,26.06999969,61489200
6/7/2012,FB,26.30999947,27.35000038,26.14999962,27,26159500
6/8/2012,FB,27.10000038,27.76000023,26.44000053,26.54999924,38034000
6/11/2012,FB,27.01000023,28.06999969,26.84000015,27.18000031,28219600
6/12/2012,FB,27.39999962,27.77000046,26.95999908,27.47999954,15816800
6/13/2012,FB,27.27000046,28.10000038,27.10000038,27.65999985,17102800
6/14/2012,FB,28.29000092,28.31999969,27.37999916,27.64999962,16855000
6/15/2012,FB,30.01000023,30.10000038,28.35000038,28.51000023,43563800
6/18/2012,FB,31.40999985,32.08000183,29.40999985,29.95999908,42978900
6/19/2012,FB,31.90999985,32.18000031,30.70000076,31.54000092,30849000
6/20/2012,FB,31.60000038,31.93000031,31.14999962,31.92000008,15553600
6/21/2012,FB,31.84000015,32.5,31.51000023,31.67000008,21875300
6/22/2012,FB,33.04999924,33.45000076,32.06000137,32.40999985,74834000
6/25/2012,FB,32.06000137,33.02000046,31.54999924,32.86000061,24352900
6/26/2012,FB,33.09999847,33.43999863,32.5,32.68999863,24858700
6/27/2012,FB,32.22999954,32.90000153,31.89999962,32.45999908,28568000
6/28/2012,FB,31.36000061,32.18999863,30.89999962,31.95999908,17713300
6/29/2012,FB,31.10000038,31.98999977,30.76000023,31.92000008,19526900
7/2/2012,FB,30.77000046,31.72999954,30.54999924,31.25,14122000
7/3/2012,FB,31.20000076,31.44000053,30.79999924,30.90999985,8763600
7/5/2012,FB,31.46999931,31.62999916,31.02000046,31.31999969,10032100
7/6/2012,FB,31.72999954,31.89999962,31.26000023,31.44000053,10945600
7/9/2012,FB,32.16999817,32.88000107,31.98999977,32.09999847,17785200
7/10/2012,FB,31.46999931,32.47999954,31.15999985,32.43000031,14269500
7/11/2012,FB,30.96999931,31.55999947,30.54999924,31.47999954,13030300
7/12/2012,FB,30.80999947,31.39999962,30.60000038,30.70000076,11300700
7/13/2012,FB,30.71999931,31.06999969,30.55999947,31.04000092,8108300
7/16/2012,FB,28.25,30.5,28.20999908,30.5,24672100
7/17/2012,FB,28.09000015,28.59000015,27.14999962,28.47999954,30438600
7/18/2012,FB,29.11000061,29.29000092,28.14999962,28.30999947,16841800
7/19/2012,FB,29,29.5,28.62999916,29.40999985,13685100
7/20/2012,FB,28.76000023,29.46999931,28.71999931,29,11869100
7/23/2012,FB,28.75,29,28.01000023,28.12000084,12390700
7/24/2012,FB,28.45000076,29.45000076,28.10000038,28.81999969,11539800
7/25/2012,FB,29.34000015,29.48999977,28.07999992,28.38999939,17230200
7/26/2012,FB,26.85000038,28.22999954,26.72999954,27.75,64597400
7/27/2012,FB,23.70999908,24.54000092,22.28000069,23.19000053,123102300
7/30/2012,FB,23.14999962,24.04000092,23.03000069,24,29285900
7/31/2012,FB,21.70999908,23.37000084,21.61000061,23.37000084,56179400
8/1/2012,FB,20.87999916,21.57999992,20.84000015,21.5,44604400
8/2/2012,FB,20.04000092,20.84000015,19.81999969,20.77000046,56374500
8/3/2012,FB,21.09000015,22.15999985,19.89999962,20.36000061,80647000
8/6/2012,FB,21.92000008,22.14999962,21.29999924,21.38999939,27778900
8/7/2012,FB,20.71999931,22.45000076,20.5,22.20000076,36782900
8/8/2012,FB,20.71999931,21.14999962,20.21999931,20.70999908,29537400
8/9/2012,FB,21.01000023,21.17000008,20.61000061,20.75,15610700
8/10/2012,FB,21.80999947,21.81999969,21.12999916,21.40999985,25794700
8/13/2012,FB,21.60000038,22.45000076,21.39999962,22.14999962,24973100
8/14/2012,FB,20.37999916,21.60000038,20.25,21.40999985,39308800
8/15/2012,FB,21.20000076,21.40999985,20.39999962,20.63999939,47861100
8/16/2012,FB,19.87000084,20.47999954,19.69000053,20.44000053,157565300
8/17/2012,FB,19.04999924,20.07999992,19,20.01000023,129293400
8/20/2012,FB,20.01000023,20.12999916,18.75,19.04999924,101186600
8/21/2012,FB,19.15999985,19.97999954,19.09000015,19.57999992,70640600
8/22/2012,FB,19.44000053,19.53000069,18.95999908,19.36000061,49892200
8/23/2012,FB,19.44000053,19.72999954,19.36000061,19.5,32813700
8/24/2012,FB,19.40999985,19.68000031,19.25,19.52000046,29622200
8/27/2012,FB,19.14999962,19.53000069,19.10000038,19.48999977,20704000
8/28/2012,FB,19.34000015,19.37999916,18.95000076,19.10000038,25417000
8/29/2012,FB,19.10000038,19.37999916,19.06999969,19.31999969,16124700
8/30/2012,FB,19.09000015,19.45000076,19.05999947,19.27000046,30647500
8/31/2012,FB,18.05999947,18.70000076,18.03000069,18.68000031,58764200
9/4/2012,FB,17.72999954,18.27000046,17.54999924,18.07999992,46622400
9/5/2012,FB,18.57999992,18.75,18.18000031,18.27000046,60781800
9/6/2012,FB,18.95999908,19.26000023,18.71999931,18.73999977,46066500
9/7/2012,FB,18.97999954,19.42000008,18.78000069,19.10000038,36371700
9/10/2012,FB,18.80999947,19.20000076,18.54999924,19.05999947,24797800
9/11/2012,FB,19.43000031,19.57999992,18.85000038,18.92000008,50508200
9/12/2012,FB,20.93000031,21.15999985,20.28000069,20.76000023,121584000
9/13/2012,FB,20.70999908,21.47999954,20.61000061,20.95999908,65041600
9/14/2012,FB,22,22.07999992,20.89999962,21.12999916,72819800
9/17/2012,FB,21.52000046,22.75,21.5,22.67000008,50667600
9/18/2012,FB,21.87000084,21.97999954,21.37000084,21.60000038,36760500
9/19/2012,FB,23.29000092,23.37000084,21.77000046,21.98999977,78782800
9/20/2012,FB,22.59000015,23.23999977,22.54000092,23.02000046,57248900
9/21/2012,FB,22.86000061,23.23999977,22.60000038,22.96999931,51218100
9/24/2012,FB,20.79000092,21.97999954,20.36000061,21.78000069,79106500
9/25/2012,FB,20.28000069,21.20999908,20.21999931,21.20000076,46291700
9/26/2012,FB,20.62000084,20.78000069,19.79999924,20.14999962,38271900
9/27/2012,FB,20.31999969,21,20.15999985,20.98999977,30215900
9/28/2012,FB,21.65999985,21.95000076,20.5,20.56999969,65486000
10/1/2012,FB,21.98999977,22.59000015,21.72999954,22.07999992,51262700
10/2/2012,FB,22.27000046,22.48999977,21.81999969,22.07999992,29341400
10/3/2012,FB,21.82999992,22.48999977,21.79999924,22.29999924,32000100
10/4/2012,FB,21.95000076,22.39999962,21.40999985,22.31999969,46892100
10/5/2012,FB,20.90999985,21.62999916,20.87999916,21.48999977,40529300
10/8/2012,FB,20.39999962,20.75,20.15999985,20.39999962,32236700
10/9/2012,FB,20.22999954,20.54999924,19.96999931,20.38999939,27161800
10/10/2012,FB,19.63999939,19.94000053,19.45000076,19.93000031,39321800
10/11/2012,FB,19.75,19.95999908,19.61000061,19.87999916,21817300
10/12/2012,FB,19.52000046,19.79999924,19.47999954,19.75,18809400
10/15/2012,FB,19.52000046,19.87999916,19.48999977,19.68000031,20189700
10/16/2012,FB,19.47999954,19.69000053,19.29999924,19.68000031,21834700
10/17/2012,FB,19.87999916,20.47999954,19.37000084,19.5,44074500
10/18/2012,FB,18.97999954,19.79000092,18.88999939,19.70000076,52157400
10/19/2012,FB,19,19.05999947,18.79999924,19,34835000
10/22/2012,FB,19.31999969,19.43000031,19.04999924,19.20000076,32447300
10/23/2012,FB,19.5,19.79999924,19.10000038,19.25,78381200
10/24/2012,FB,23.22999954,24.25,22.85000038,24.12999916,228949900
10/25/2012,FB,22.55999947,23.30999947,22.46999931,23.29000092,76142000
10/26/2012,FB,21.94000053,22.87999916,21.87999916,22.39999962,73175800
10/31/2012,FB,21.11000061,21.5,20.72999954,20.81999969,99378200
11/1/2012,FB,21.20999908,21.44000053,21.01000023,21.07999992,37713900
11/2/2012,FB,21.18000031,21.69000053,21.06999969,21.26000023,38344400
11/5/2012,FB,21.25,21.47999954,20.92000008,21.10000038,31806700
11/6/2012,FB,21.17000008,21.37000084,20.98999977,21.23999977,29062700
11/7/2012,FB,20.46999931,20.95000076,20.37000084,20.85000038,33396800
11/8/2012,FB,19.98999977,20.72999954,19.97999954,20.52000046,34254600
11/9/2012,FB,19.20999908,20,19.12999916,19.95999908,42295500
11/12/2012,FB,20.06999969,20.17000008,18.87000084,19.14999962,67349200
11/13/2012,FB,19.86000061,20.11000061,19.55999947,19.61000061,71775100
11/14/2012,FB,22.36000061,22.5,19.93000031,20.10000038,229751000
11/15/2012,FB,22.17000008,22.5,21.64999962,22.34000015,78857700
11/16/2012,FB,23.55999947,23.93000031,22.18000031,22.25,107182200
11/19/2012,FB,22.92000008,24.12000084,22.81999969,23.95999908,85021300
11/20/2012,FB,23.10000038,23.89999962,22.70000076,22.72999954,46655300
11/21/2012,FB,24.31999969,24.53000069,23.04999924,23.21999931,89862400
11/23/2012,FB,24,24.68000031,23.87999916,24.57999992,29520900
11/26/2012,FB,25.94000053,26.09000015,24.80999947,24.94000053,123865000
11/27/2012,FB,26.14999962,26.5,25.45999908,26.04000092,85760600
11/28/2012,FB,26.36000061,26.48999977,25.75,25.94000053,49205600
